Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2016,2016 Annual,Air Pollution,Ohio,46,10.2,0.88,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1 2017",2013-2015
2016,2016 Annual,All Determinants,Ohio,39,-0.251,-0.251,,,America's Health Rankings composite measure,2016
2016,2016 Annual,All Outcomes,Ohio,40,-0.14,-0.14,,,America's Health Rankings composite measure,2016
2016,2016 Annual,Behaviors,Ohio,44,-0.163,-0.163,,,America's Health Rankings composite measure,2016
2016,2016 Annual,Binge Drinking,Ohio,40,18.2,0.67,19.6,16.9,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Binge Drinking - $25-$49,999",Ohio,28,15.3,0.13,17.9,12.7,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Binge Drinking - $50-$74,999",Ohio,41,20.5,0.95,24.1,16.8,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Binge Drinking - $75,000 or More",Ohio,40,21.4,0.51,24,18.8,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - Ages 18-44,Ohio,42,27.3,0.97,29.9,24.7,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - Ages 45-64,Ohio,39,15.1,0.61,16.9,13.4,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - Ages 65+,Ohio,29,4.5,-0.08,5.5,3.6,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - American Indian/Alaskan Native,Ohio,,13.9,,28.9,-1.1,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - Asian,Ohio,,10.6,,18.4,2.8,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - Black,Ohio,,13.9,,18.1,9.7,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - College Grad,Ohio,44,18.8,0.93,21.1,16.5,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - Female,Ohio,38,12.9,0.64,14.5,11.3,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - Hawaiian/Pacific Islander,Ohio,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - High School Grad,Ohio,24,15.2,0,17.2,13.1,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - Hispanic,Ohio,,17.3,,26.4,8.3,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Binge Drinking - Less Than $25,000",Ohio,36,13.2,0.59,15.9,10.5,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - Less than High School,Ohio,15,10.8,-0.52,14.7,6.8,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - Male,Ohio,41,24,0.68,26.2,21.9,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - Rural,Ohio,,10.4,,12,8.7,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - Some College,Ohio,40,17.1,0.67,19.7,14.6,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - Suburban,Ohio,30,12.2,0.34,15,9.4,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - Urban,Ohio,32,11.6,0.28,13.2,10,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Binge Drinking - White,Ohio,39,18.9,0.6,20.4,17.5,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cancer Deaths,Ohio,40,208.6,1.04,210,207.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cancer Deaths - American Indian/Alaska Native,Ohio,,49.9,,67.2,36.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cancer Deaths - Asian/Pacific Islander,Ohio,,99.6,,110,89.2,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cancer Deaths - Black/African American,Ohio,,233.1,,238.2,228.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cancer Deaths - Crude Rate,Ohio,44,223.7,1.15,225.3,222.2,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cancer Deaths - Female,Ohio,,178.4,,180.3,176.6,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cancer Deaths - Hispanic/Latino,Ohio,,107.8,,117.4,98.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cancer Deaths - Male,Ohio,,250.8,,253.3,248.4,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cancer Deaths - Standard Age Adjustment,Ohio,40,184.1,1.06,185.4,182.7,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cancer Deaths - White,Ohio,,207.6,,209.1,206,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cardiovascular Deaths,Ohio,40,278.7,0.72,280.4,277,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cardiovascular Deaths - American Indian/Alaska Native,Ohio,,102.5,,129.5,79.9,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cardiovascular Deaths - Asian/Pacific Islander,Ohio,,133.5,,147,119.9,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cardiovascular Deaths - Black/African American,Ohio,,332.7,,338.8,326.5,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cardiovascular Deaths - Female,Ohio,,232,,233.9,230,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cardiovascular Deaths - Hispanic/Latino,Ohio,,144.9,,156.4,133.3,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cardiovascular Deaths - Male,Ohio,,337.5,,340.4,334.6,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Cardiovascular Deaths - White,Ohio,,273.9,,275.6,272.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2012-2014
2016,2016 Annual,Children in Poverty,Ohio,37,20.9,0.25,24.4,17.4,"U.S. Census Bureau, Current Population Survey, Annual Social and Economic Supplement",2015
2016,2016 Annual,Children in Poverty,Ohio,33,21.3,0.12,,,"U.S. Census Bureau, American Community Survey",2015
2016,2016 Annual,Chlamydia,Ohio,33,474.1,0.18,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2014
2016,2016 Annual,Chlamydia - American Indian/Alaska Native,Ohio,,187.8,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2014
2016,2016 Annual,Chlamydia - Asian,Ohio,,75.3,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2014
2016,2016 Annual,Chlamydia - Black/African American,Ohio,,1409.2,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2014
2016,2016 Annual,Chlamydia - Female,Ohio,,660.3,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2014
2016,2016 Annual,Chlamydia - Hispanic/Latino,Ohio,,280.3,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2014
2016,2016 Annual,Chlamydia - Male,Ohio,,279.6,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2014
2016,2016 Annual,Chlamydia - White,Ohio,,180.8,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2014
2016,2016 Annual,Cholesterol Check,Ohio,23,77.9,0.05,79.4,76.5,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Cholesterol Check - $25-$49,999",Ohio,28,80.1,-0.11,83.2,77.1,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Cholesterol Check - $50-$74,999",Ohio,18,86,0.34,89.1,83,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Cholesterol Check - $75,000 or More",Ohio,30,87.7,-0.56,90,85.4,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - Ages 18-44,Ohio,26,60.5,-0.36,63.4,57.6,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - Ages 45-64,Ohio,22,88.9,0.15,90.4,87.4,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - Ages 65+,Ohio,28,94.8,-0.43,95.8,93.8,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - American Indian/Alaskan Native,Ohio,0,93.3,0,100.2,86.3,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - Asian,Ohio,0,71.3,0,84.8,57.8,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - Black,Ohio,0,74.8,0,79.8,69.7,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - College Grad,Ohio,24,88,-0.13,89.8,86.2,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - Female,Ohio,26,80.2,-0.08,82.1,78.3,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - Hawaiian/Pacific Islander,Ohio,0,,0,0,0,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - High School Grad,Ohio,22,81.7,0.18,83.9,79.4,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - Hispanic,Ohio,0,54.2,0,65.8,42.7,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Cholesterol Check - Less than $25,000",Ohio,31,74.6,-0.14,78,71.2,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - Less than High School,Ohio,28,73,0.17,78.9,67.2,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - Male,Ohio,22,75.5,0.08,77.8,73.3,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - Rural,Ohio,0,84.9,0,87.1,82.8,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - Some College,Ohio,34,82.7,-0.57,85.3,80.1,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - Suburban,Ohio,15,88.3,0.16,90.5,86,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - Urban,Ohio,24,87.5,-0.1,89.5,85.5,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Cholesterol Check - White,Ohio,29,79.5,-0.39,81,77.9,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking,Ohio,29,6.1,0.18,6.9,5.3,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Chronic Drinking - $25-$49,999",Ohio,25,5.7,0.08,7.5,4,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Chronic Drinking - $50-$74,999",Ohio,38,7.7,0.62,10.1,5.3,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Chronic Drinking - $75,000 or More",Ohio,35,7.6,0.29,9.2,6,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - Ages 18-44,Ohio,26,6.5,0.07,7.9,5.1,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - Ages 45-64,Ohio,42,7.3,1.12,8.7,6,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - Ages 65+,Ohio,15,3.1,-0.59,3.9,2.3,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - American Indian/Alaskan Native,Ohio,,11.4,,24.9,-2,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - Asian,Ohio,,3.7,,9,-1.5,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - Black,Ohio,,7.2,,10.7,3.7,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - College Grad,Ohio,31,5.8,0,7.1,4.4,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - Female,Ohio,27,5.2,0,6.3,4.2,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - Hawaiian/Pacific Islander,Ohio,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - High School Grad,Ohio,24,5.9,0.07,7.2,4.6,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - Hispanic,Ohio,,6.4,,11.4,1.4,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Chronic Drinking - Less Than $25,000",Ohio,23,4.6,0.14,5.9,3.2,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - Less than High School,Ohio,17,3.7,-0.46,5.5,1.9,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - Male,Ohio,34,7,0.53,8.3,5.8,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - Rural,Ohio,,3.8,,4.7,2.9,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - Some College,Ohio,41,6.9,0.82,8.5,5.2,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - Suburban,Ohio,22,4.7,-0.07,6.2,3.2,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - Urban,Ohio,23,4.4,-0.14,5.3,3.5,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Chronic Drinking - White,Ohio,15,5.9,-0.51,6.7,5.1,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Clinical Care,Ohio,34,-0.06,-0.06,,,America's Health Rankings composite measure,2016
2016,2016 Annual,Colorectal Cancer Screening,Ohio,28,65.1,-0.29,67,63.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,"Colorectal Cancer Screening - $25-$49,999",Ohio,22,67.3,0.25,71.1,63.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,"Colorectal Cancer Screening - $50-$74,999",Ohio,47,63.1,-1.42,67.9,58.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,"Colorectal Cancer Screening - $75,000 or More",Ohio,34,71.2,-0.43,74.7,67.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - American Indian/Alaskan Native,Ohio,0,,0,0,0,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - Asian,Ohio,0,61.2,0,82.6,39.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - Black,Ohio,0,71.3,0,78.2,64.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - College Grad,Ohio,33,73.1,-0.33,75.9,70.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - Female,Ohio,35,64.6,-0.69,67.1,62.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - Hawaiian/Pacific Islander,Ohio,0,,0,0,0,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - High School Grad,Ohio,31,60.5,-0.41,63.7,57.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - Hispanic,Ohio,0,,0,0,0,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,"Colorectal Cancer Screening - Less than $25,000",Ohio,13,59.3,0.71,63.4,55.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - Less than High School,Ohio,11,56.9,0.75,64.6,49.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - Male,Ohio,20,65.6,0.17,68.5,62.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - Rural,Ohio,0,62.9,0,66.4,59.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - Some College,Ohio,28,67.8,-0.24,71.2,64.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - Suburban,Ohio,0,67.8,0,71.2,64.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - Urban,Ohio,31,71.1,-0.04,74.4,67.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Colorectal Cancer Screening - White,Ohio,35,64.8,-0.76,66.8,62.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Community & Environment,Ohio,32,-0.016,-0.016,,,America's Health Rankings composite measure,2016
