Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2015,2015 Annual,Air Pollution,Ohio,45,10.6,0.65,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1 2017",2012-2014
2015,2015 Annual,All Determinants,Ohio,36,-0.226,,,,America's Health Rankings composite measure,2015
2015,2015 Annual,All Outcomes,Ohio,41,-0.14,,,,America's Health Rankings composite measure,2015
2015,2015 Annual,Behaviors,Ohio,44,-0.157,,,,America's Health Rankings composite measure,2015
2015,2015 Annual,Binge Drinking,Ohio,39,18,0.68,19.3,16.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Binge Drinking - $25-$49,999",Ohio,41,16.8,0.82,19.4,14.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Binge Drinking - $50-$74,999",Ohio,39,18.9,0.72,22.4,15.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Binge Drinking - $75,000 or More",Ohio,39,21.3,0.74,23.9,18.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - Ages 18-44,Ohio,41,27.7,1.1,30.2,25.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - Ages 45-64,Ohio,37,14.1,0.38,15.7,12.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - Ages 65+,Ohio,20,4.1,-0.31,5.1,3.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - American Indian/Alaskan Native,Ohio,,26,,56.8,-4.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - Asian,Ohio,,16.8,,29.1,4.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - Black,Ohio,,15.2,,19.4,10.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - College Grad,Ohio,45,18.5,1.05,20.6,16.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - Female,Ohio,39,12.5,0.62,14,11,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - Hawaiian/Pacific Islander,Ohio,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - High School Grad,Ohio,28,15.2,0.24,17.2,13.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - Hispanic,Ohio,,15.1,,21.8,8.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Binge Drinking - Less Than $25,000",Ohio,26,12.2,0.04,14.6,9.9,"CDC, Behavioral Risk Factor Surveillance System",2014
