Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Dollar,Margin of Error
0400000US39,39,Ohio,0500000US39001,39001,Adams County,36320,2651
0400000US39,39,Ohio,0500000US39003,39003,Allen County,47905,1708
0400000US39,39,Ohio,0500000US39005,39005,Ashland County,50893,1608
0400000US39,39,Ohio,0500000US39007,39007,Ashtabula County,43017,1597
0400000US39,39,Ohio,0500000US39009,39009,Athens County,37191,2008
0400000US39,39,Ohio,0500000US39011,39011,Auglaize County,59516,1900
0400000US39,39,Ohio,0500000US39013,39013,Belmont County,46484,1587
0400000US39,39,Ohio,0500000US39015,39015,Brown County,49188,2984
0400000US39,39,Ohio,0500000US39017,39017,Butler County,62188,1209
0400000US39,39,Ohio,0500000US39019,39019,Carroll County,51748,3535
0400000US39,39,Ohio,0500000US39021,39021,Champaign County,54495,2126
0400000US39,39,Ohio,0500000US39023,39023,Clark County,46275,1248
0400000US39,39,Ohio,0500000US39025,39025,Clermont County,64183,1592
0400000US39,39,Ohio,0500000US39027,39027,Clinton County,49997,2050
0400000US39,39,Ohio,0500000US39029,39029,Columbiana County,45498,1393
0400000US39,39,Ohio,0500000US39031,39031,Coshocton County,43251,2607
0400000US39,39,Ohio,0500000US39033,39033,Crawford County,41726,1070
0400000US39,39,Ohio,0500000US39035,39035,Cuyahoga County,46720,430
0400000US39,39,Ohio,0500000US39037,39037,Darke County,50064,1661
0400000US39,39,Ohio,0500000US39039,39039,Defiance County,55295,2089
0400000US39,39,Ohio,0500000US39041,39041,Delaware County,100229,2514
0400000US39,39,Ohio,0500000US39043,39043,Erie County,51033,1456
0400000US39,39,Ohio,0500000US39045,39045,Fairfield County,63424,1617
0400000US39,39,Ohio,0500000US39047,39047,Fayette County,44289,2298
0400000US39,39,Ohio,0500000US39049,39049,Franklin County,56319,509
0400000US39,39,Ohio,0500000US39051,39051,Fulton County,57774,2425
0400000US39,39,Ohio,0500000US39053,39053,Gallia County,42002,2864
0400000US39,39,Ohio,0500000US39055,39055,Geauga County,77104,2375
0400000US39,39,Ohio,0500000US39057,39057,Greene County,65032,1700
0400000US39,39,Ohio,0500000US39059,39059,Guernsey County,42744,2537
0400000US39,39,Ohio,0500000US39061,39061,Hamilton County,52389,581
0400000US39,39,Ohio,0500000US39063,39063,Hancock County,52831,2001
0400000US39,39,Ohio,0500000US39065,39065,Hardin County,46404,2271
0400000US39,39,Ohio,0500000US39067,39067,Harrison County,46223,2725
0400000US39,39,Ohio,0500000US39069,39069,Henry County,58070,3117
0400000US39,39,Ohio,0500000US39071,39071,Highland County,42333,2216
0400000US39,39,Ohio,0500000US39073,39073,Hocking County,48073,3504
0400000US39,39,Ohio,0500000US39075,39075,Holmes County,58728,2576
0400000US39,39,Ohio,0500000US39077,39077,Huron County,49710,1428
0400000US39,39,Ohio,0500000US39079,39079,Jackson County,43397,2292
0400000US39,39,Ohio,0500000US39081,39081,Jefferson County,43161,1770
0400000US39,39,Ohio,0500000US39083,39083,Knox County,51211,1892
0400000US39,39,Ohio,0500000US39085,39085,Lake County,61137,1160
0400000US39,39,Ohio,0500000US39087,39087,Lawrence County,45466,2272
0400000US39,39,Ohio,0500000US39089,39089,Licking County,59747,1621
0400000US39,39,Ohio,0500000US39091,39091,Logan County,53051,1732
0400000US39,39,Ohio,0500000US39093,39093,Lorain County,54987,963
0400000US39,39,Ohio,0500000US39095,39095,Lucas County,44820,790
0400000US39,39,Ohio,0500000US39097,39097,Madison County,62897,1726
0400000US39,39,Ohio,0500000US39099,39099,Mahoning County,43251,939
0400000US39,39,Ohio,0500000US39101,39101,Marion County,44708,1991
0400000US39,39,Ohio,0500000US39103,39103,Medina County,71595,1509
